time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0165,-1.6866867068946e-294,-5.622289022982e-295,7.3179792513764e-173,0,1.7320544275189,0,2.6349274391222e-166,6.3131962797057e-146,2.9764820842272e-168,-7.1315495606263e-148,-2.0841332378791e-168,2.0841332384752e-168,1.498053647952e-147,1.498053647952e-147,-5.0124116227012e-158,-5.0124116218124e-158,2.0841332378791e-168,-2.0841332384752e-168,5.0124116227012e-158,5.0124116218124e-158,1.498053647952e-147,1.498053647952e-147,4.99351215984e-148,5.3221901508347e-154,6.3131962797058e-152,-1.2501811466002e-20,0,360.31469625632,100000000,-2.2974338671005e-42,-1.0230296879015e-05,1.6499863875603e-05,0.68029634769621,7.0843988242227e-10,1.7776071802764,1.5535091676386
0.1165,-1.3420872015773e-184,-4.4736240052576e-185,4.0725530878749e-117,1.5248084411946e-112,1.7320763626565,0,2.0768112989979e-111,5.0261248545986e-91,2.9451885080003e-113,-7.1276478795472e-93,-2.0622214713328e-113,2.062221471322e-113,1.4972340606345e-92,1.4972340606345e-92,-5.0408884905097e-103,-5.0408884905261e-103,2.0622214713328e-113,-2.062221471322e-113,5.0408884905097e-103,5.0408884905261e-103,1.4972340606345e-92,1.4972340606345e-92,4.9937743484315e-93,2.9923226761162e-98,5.0261248545986e-97,4.3336868260299e-20,0,360.31469625632,100000000,-1.1340057455345e-40,-7.2248969130949e-05,0.0001164932143878,4.8033622753103,1.4856211759131e-08,12.553645257296,10.971170953436
0.2165,-8.469077349051e-156,-2.823025783017e-156,1.8104570945402e-102,7.6578461311681e-99,1.7320982908083,0,4.9679968018598e-97,1.2143946123243e-76,7.6161343904458e-99,-1.8615514418658e-78,-5.3328185363026e-99,5.3328185363303e-99,3.9103758652031e-78,3.9103758652031e-78,-1.3246619455126e-88,-1.3246619455083e-88,5.3328185363026e-99,-5.3328185363303e-99,1.3246619455126e-88,1.3246619455083e-88,3.9103758652031e-78,3.9103758652031e-78,1.3124861891357e-78,1.3438755120037e-83,1.2143946123243e-82,3.1158210368061e-20,0,360.31469625632,100000000,-4.2295973703108e-40,-0.00013429695968673,0.00021647656722972,8.9265276798626,2.7579436494906e-08,23.334253393849,20.393048280452
0.3165,-1.3808544149451e-138,-4.6028480498168e-139,9.9653626062629e-94,4.0814411719042e-90,1.7321202119799,0,1.8705318564253e-88,4.6183355981576e-68,3.233240965941e-90,-7.9810710833781e-70,-2.2639158491244e-90,2.2639158491246e-90,1.6765041803858e-69,1.6765041803858e-69,-5.7140529483041e-80,-5.7140529483037e-80,2.2639158491244e-90,-2.2639158491246e-90,5.714052948304e-80,5.7140529483037e-80,1.6765041803858e-69,1.6765041803858e-69,5.6771434182277e-70,7.4729590099607e-75,4.6183355981576e-74,1.1030073283738e-19,0,360.31469625632,100000000,-5.5312056998454e-40,-0.00019637426921054,0.00031644992440011,13.049793019451,4.03540401604e-08,34.11943358857,29.819143147987
0.4165,-2.924894443079e-126,-9.7496481435965e-127,1.7762605853586e-87,1.335624664719e-83,1.7321421261624,0,2.5335654090922e-82,6.3182080358669e-62,4.9570061383187e-84,-1.2357057007656e-63,-3.4708965026007e-84,3.4708965026e-84,2.5957239967136e-63,2.5957239967136e-63,-8.9011078438438e-74,-8.9011078438451e-74,3.4708965026008e-84,-3.4708965025999e-84,8.9011078438437e-74,8.9011078438451e-74,2.5957239967136e-63,2.5957239967136e-63,8.8620288686265e-64,1.3456571445095e-68,6.3182080358669e-68,5.0239994817928e-19,0,360.31469625632,100000000,-3.3799173754413e-39,-0.00025848092378357,0.00041641328789715,17.173158751672,5.3136114341713e-08,44.90918784129,39.249457557633
0.5165,-1.1963839132434e-116,-3.9879463774781e-117,1.3157595534949e-82,4.5272464393643e-79,1.7321640333466,0,1.5133569237365e-77,3.8119233194738e-57,3.3278355468987e-79,-8.3777073095751e-59,-2.3301509900646e-79,2.3301509900644e-79,1.7598216053736e-58,1.7598216053736e-58,-6.0715049897308e-69,-6.0715049897312e-69,2.3301509900646e-79,-2.3301509900644e-79,6.0715049897308e-69,6.0715049897312e-69,1.7598216053736e-58,1.7598216053736e-58,6.049692315934e-59,1.007006050749e-63,3.8119233194738e-63,-1.0194126939612e-18,0,360.31469625632,100000000,-5.4001754516862e-39,-0.00032061694952403,0.00051636665971897,21.296625334583,6.5925022689612e-08,55.703518153991,48.683993512793
0.6165,-9.0953141642916e-109,-3.0317713880972e-109,1.2849239498723e-78,9.2077101143177e-75,1.7321859335236,0,1.2381526832443e-73,3.1500507028604e-53,3.0315896975357e-75,-7.7072409237188e-55,-2.1227195982549e-75,2.1227195982581e-75,1.6189834037145e-54,1.6189834037146e-54,-5.6196577243615e-65,-5.6196577243563e-65,2.1227195982549e-75,-2.1227195982581e-75,5.6196577243615e-65,5.6196577243563e-65,1.6189834037146e-54,1.6189834037146e-54,5.5973442005043e-55,9.9348275986059e-60,3.1500507028604e-59,2.1768992917537e-19,0,360.31469625632,100000000,-1.019319123427e-38,-0.00038278237258745,0.00061631004186293,25.420193226649,7.8727478698694e-08,66.502426530702,58.122753018618
0.7165,-4.3532387346568e-102,-1.4510795782189e-102,3.0796386837959e-75,1.8134962401113e-71,1.7322078266842,0,2.5533368536538e-70,6.5613253641139e-50,6.8980684311925e-72,-1.771004583083e-51,-4.8300286351098e-72,4.8300286351152e-72,3.7201730895554e-51,3.7201730895554e-51,-1.2991778622149e-61,-1.299177862214e-61,4.8300286351099e-72,-4.8300286351152e-72,1.2991778622149e-61,1.299177862214e-61,3.7201730895554e-51,3.7201730895554e-51,1.2922825274707e-51,2.4055234655846e-56,6.5613253641139e-56,-1.1188137526164e-18,0,360.31469625632,100000000,-1.191479590833e-38,-0.00044497721916808,0.00071624343632549,29.543862886794,9.1558921038949e-08,77.305914977634,67.565738082126
0.8165,-2.731036486612e-96,-9.1034549553733e-97,2.6310071905339e-72,1.8283876362507e-68,1.7322297128193,0,1.9141900491629e-67,4.9683044449101e-47,5.6593060617574e-69,-1.4672971578977e-48,-3.9626470229802e-69,3.9626470229788e-69,3.0822051243309e-48,3.0822051243309e-48,-1.0829379601171e-58,-1.0829379601173e-58,3.9626470229803e-69,-3.9626470229788e-69,1.0829379601171e-58,1.0829379601173e-58,3.0822051243309e-48,3.0822051243309e-48,1.074922802677e-48,2.0761481686681e-53,4.9683044449101e-53,-1.3850860865562e-18,0,360.31469625632,100000000,-1.9030855219793e-38,-0.00050720151549543,0.00081616684510274,33.667634774322,1.044006872575e-07,88.113985503027,77.012950712103
